"Tempo (s)","Vazao no nucleo (%)","Temperatura na perna quente (C)","Temperatura na perna fria (C)","Vazao no nucleo (kg/s)","Nivel no gerador de vapor - Faixa larga (%)","Nivel no gerador de vapor - Faixa estreita (%)","Pressao no gerador de vapor (Mpa)","Vazao de agua de alimentacao (kg/s)","Vazao de vapor (kg/s)","Vazao no circuito primario (kg/s)","Pressao no sistema primario (Mpa)","Potencia Termica (%)","Potencia Nuclear (%)","Margem de sub-resfriamento (C)","Nivel do pressurizador (%)","Temperatura media no primario (C)","acidente"
"0","105.223","324.465","291.456","50418.4","50","62.5153","6.8948","527.767","527.767","105.223","15.8","100","100","21.862","59.1491","307.959","blackout"
"1","105.39","324.463","291.457","50418.3","50.0078","62.5169","6.89413","527.89","528.396","105.39","15.7999","100.005","100.005","21.8967","59.1357","307.942","blackout"
"2","99.4508","325.009","291.5","50044.8","49.0423","62.2777","6.94732","34.5845","354.461","99.4663","15.4866","11.9731","11.9757","30.3013","54.6116","303.144","blackout"
"3","92.9815","324.302","291.91","49535","45.487","61.7591","7.18567","34.0993","152.994","93.0863","15.153","10.2247","10.2257","38.5294","49.9259","298.083","blackout"
"4","87.1439","320.759","292.337","49044.1","39.7598","61.2484","7.41172","33.5098","210.368","87.3292","14.9126","9.05521","9.05586","41.9348","46.6158","295.654","blackout"
"5","81.9561","316.315","292.692","48593.8","34.8187","60.8078","7.52939","33.2219","120.206","82.1691","14.7608","8.18622","8.18665","43.4224","44.5467","294.457","blackout"
"6","77.349","312.096","292.93","48191.6","29.3472","60.3384","7.6311","32.9721","98.3528","77.5427","14.6627","7.50685","7.50716","44.0639","43.2138","293.868","blackout"
"7","73.2299","308.508","293.101","47844.3","23.8022","59.8971","7.72362","32.781","52.4708","73.3858","14.5993","6.96144","6.96165","44.3227","42.3478","293.606","blackout"
"8","69.5197","305.593","293.256","47552.9","18.4795","59.518","7.77403","32.6529","27.3939","69.6409","14.5618","6.51663","6.5168","44.3995","41.8273","293.531","blackout"
"9","66.1596","303.276","293.414","47310.5","13.5314","59.1576","7.81183","32.5522","68.2616","66.2537","14.5387","6.14981","6.14994","44.3697","41.4965","293.566","blackout"
"10","63.1044","301.449","293.565","47189.2","8.97426","58.7984","7.82673","32.5302","15.645","63.1782","14.5259","5.84446","5.84456","44.2886","41.3011","293.668","blackout"
"11","60.319","300.06","293.689","47157.4","4.0336","58.3093","7.8421","32.4943","-9.41872","60.3758","14.5206","5.58809","5.58816","44.1746","41.2048","293.807","blackout"
"12","57.7686","298.992","293.789","47125.8","0.552878","57.8674","7.86921","32.4322","25.3094","57.8116","14.5192","5.37104","5.3711","44.0411","41.1593","293.966","blackout"
"13","55.4223","298.179","293.88","47094.9","0.70154","57.4781","7.86896","32.4357","1.46464","55.4568","14.5216","5.18578","5.18582","43.9051","41.1653","294.133","blackout"
"14","53.2591","297.607","293.959","47064.6","0.705604","52.1","7.86941","32.4263","0.75943","53.2871","14.5301","5.02636","5.0264","43.777","41.19","294.3","blackout"
"15","51.2592","297.225","294.022","47035","0.713565","47.5297","7.88818","32.3966","8.9994","51.2812","14.5414","4.88813","4.88817","43.6668","41.223","294.465","blackout"
"16","49.4037","296.979","294.077","47006.3","0.718308","46.8936","7.88797","32.3954","-7.68558","49.4212","14.5567","4.76737","4.76739","43.5775","41.2679","294.624","blackout"
"17","47.6774","296.831","294.126","46978.5","0.723101","47.3437","7.88833","32.3838","9.24586","47.6918","14.5732","4.6611","4.66113","43.4926","41.316","294.774","blackout"
"18","46.0676","296.754","294.168","46951.6","0.726135","47.7631","7.90205","32.37","2.50068","46.0792","14.5901","4.56695","4.56697","43.4202","41.365","294.917","blackout"
"19","44.5629","296.727","294.206","46925.8","0.731263","48.2433","7.90294","32.3641","-10.4109","44.5722","14.6092","4.48298","4.48299","43.3624","41.4205","295.051","blackout"
"20","43.1528","296.738","294.242","46901.2","0.739182","48.7094","7.90748","32.345","13.3258","43.1605","14.628","4.40763","4.40764","43.3051","41.4747","295.177","blackout"
"21","41.8288","296.776","294.277","46877.8","0.740389","49.1304","7.91891","32.3369","-0.634464","41.8351","14.6467","4.33961","4.33963","43.2608","41.5288","295.296","blackout"
"22","40.5835","296.833","294.31","46855.6","0.746917","49.5968","7.92106","32.3264","-9.43206","40.5886","14.6672","4.27788","4.27788","43.2258","41.5877","295.409","blackout"
"23","39.4096","296.905","294.343","46834.8","0.753956","50.0367","7.92978","32.3013","14.6993","39.414","14.6871","4.22155","4.22156","43.1916","41.6451","295.515","blackout"
"24","38.3012","296.986","294.379","46815.5","0.758339","50.438","7.93991","32.2948","-2.05702","38.3047","14.708","4.1699","4.1699","43.173","41.7047","295.617","blackout"
"25","37.2532","297.074","294.417","46797.8","0.766342","50.8783","7.94386","32.2799","-7.82726","37.256","14.73","4.12232","4.12232","43.1595","41.7677","295.714","blackout"
"26","36.2603","297.166","294.456","46781.7","0.774722","51.2939","7.95584","32.2501","14.5234","36.2625","14.751","4.0783","4.07831","43.1447","41.8275","295.807","blackout"
"27","35.3182","297.262","294.5","46767.3","0.780957","51.6733","7.96712","32.2406","-1.66508","35.3201","14.7726","4.0374","4.03741","43.1418","41.8891","295.897","blackout"
"28","34.4238","297.359","294.545","46754.8","0.790619","52.0751","7.97251","32.2221","-5.4987","34.4254","14.7963","3.99925","3.99925","43.1444","41.9561","295.985","blackout"
"29","33.5729","297.457","294.593","46744.3","0.79977","52.4459","7.98626","32.1897","13.4228","33.5742","14.819","3.96354","3.96354","43.1454","42.0205","296.071","blackout"
"30","32.7623","297.555","294.645","46735.8","0.808041","52.7841","7.99946","32.1758","0.273007","32.7634","14.8425","3.92999","3.92999","43.1599","42.0866","296.156","blackout"
"31","31.9902","297.654","294.7","46729.5","0.81844","53.132","8.00594","32.1562","-4.13768","31.991","14.8689","3.89836","3.89836","43.1813","42.1608","296.241","blackout"
"32","31.2522","297.751","294.758","46725.4","0.828513","53.4445","8.02132","32.1208","12.8633","31.2529","14.8918","3.86846","3.86845","43.1938","42.2251","296.324","blackout"
"33","30.5481","297.849","294.816","46723.5","0.833491","53.7128","8.03568","32.1035","3.96785","30.5486","14.9174","3.8401","3.8401","43.213","42.2965","296.407","blackout"
"34","29.8741","297.945","294.877","46723.9","0.839365","53.9775","8.0432","32.0831","-5.0138","29.8742","14.9416","3.81314","3.81313","43.2328","42.3639","296.489","blackout"
"35","29.2296","298.041","294.936","46726.8","0.850293","54.2181","8.05821","32.0451","12.644","29.2293","14.9658","3.78744","3.78743","43.2485","42.4311","296.571","blackout"
"36","28.6122","298.135","294.996","46731.9","0.872089","54.4181","8.07562","32.0235","7.21207","28.6114","14.9896","3.76287","3.76287","43.2646","42.497","296.653","blackout"
"37","28.0203","298.229","295.057","46739.5","0.882086","54.6071","8.08233","32.0074","-5.34477","28.0194","15.0144","3.73934","3.73933","43.2847","42.5656","296.736","blackout"
"38","27.4522","298.323","295.118","46749.6","0.891782","54.7821","8.09342","31.9739","8.26337","27.4512","15.0394","3.71675","3.71675","43.3036","42.6342","296.818","blackout"
"39","26.9062","298.415","295.181","46762","0.903891","54.9178","8.11134","31.9483","12.4314","26.9052","15.0644","3.69503","3.69502","43.326","42.7029","296.9","blackout"
"40","26.3816","298.508","295.245","46776.7","0.910545","55.0298","8.11748","31.941","-4.003","26.3805","15.0901","3.6741","3.67409","43.3505","42.7733","296.983","blackout"
"41","25.877","298.6","295.309","46793.8","0.921548","55.146","8.12264","31.9172","0.781567","25.876","15.1157","3.65389","3.65389","43.3731","42.8431","297.065","blackout"
"42","25.3911","298.691","295.373","46813","0.9294","55.2301","8.13698","31.8894","14.6205","25.3899","15.1406","3.63436","3.63436","43.3933","42.9107","297.148","blackout"
"43","24.923","298.782","295.438","46834.2","0.93354","55.2288","8.14529","31.8866","1.98618","24.9219","15.1656","3.61545","3.61545","43.4164","42.9785","297.231","blackout"
"44","24.4722","298.873","295.502","46857.4","0.938107","55.2974","8.14452","31.8794","-6.03041","24.471","15.1906","3.59711","3.59711","43.4363","43.046","297.314","blackout"
"45","24.0373","298.963","295.565","46882.5","0.947869","55.3615","8.15017","31.8572","8.31182","24.0361","15.2148","3.57931","3.5793","43.452","43.1113","297.396","blackout"
"46","23.6175","299.052","295.626","46909.1","0.948909","55.4122","8.1606","31.8484","10.7658","23.6163","15.2375","3.56201","3.56201","43.4649","43.1724","297.478","blackout"
"47","23.2126","299.142","295.685","46937.2","0.947576","55.4565","8.15895","31.8575","-5.1931","23.2114","15.2599","3.54518","3.54517","43.4745","43.2324","297.559","blackout"
"48","22.8217","299.231","295.741","46966.7","0.950585","55.4995","8.15482","31.851","-3.75935","22.82","15.2802","3.52878","3.52877","43.4778","43.2865","297.64","blackout"
"49","22.4439","299.318","295.794","46997.3","0.954389","55.5379","8.16121","31.8357","10.6622","22.4413","15.293","3.5128","3.51279","43.4438","43.3208","297.719","blackout"
"50","22.0779","299.404","295.843","47028.8","0.953526","55.5719","8.16711","31.8405","3.93288","22.0768","15.3038","3.49721","3.49721","43.3997","43.3497","297.795","blackout"
"51","21.7234","299.49","295.884","47060.6","0.951062","55.5595","8.16068","31.8499","-9.60915","21.725","15.3121","3.48198","3.48198","43.3413","43.3716","297.87","blackout"
"52","21.3825","299.575","295.915","47092.5","0.957012","55.5891","8.16012","31.8365","1.10324","21.3856","15.3194","3.46711","3.4671","43.278","43.3911","297.943","blackout"
