"Tempo (s)","Vazao no nucleo (%)","Temperatura na perna quente (C)","Temperatura na perna fria (C)","Vazao no nucleo (kg/s)","Nivel no gerador de vapor - Faixa larga (%)","Nivel no gerador de vapor - Faixa estreita (%)","Pressao no gerador de vapor (Mpa)","Vazao de agua de alimentacao (kg/s)","Vazao de vapor (kg/s)","Vazao no circuito primario (kg/s)","Pressao no sistema primario (Mpa)","Potencia Termica (%)","Potencia Nuclear (%)","Margem de sub-resfriamento (C)","Nivel do pressurizador (%)","Temperatura media no primario (C)","acidente"
"0","104.243710685","324.85271197512","290.11994077211","50419.127636038","50.147173885175","61.807681495774","8.5827471698165","527.50647956626","528.55147499474","106.74183074631","15.930346650121","99.449419874149","99.154223578603","22.241005879355","58.465101384882","309.57331979525","blackout"
"1","106.38486353382","324.51719427737","291.0307734758","50418.619925364","49.448373056179","62.221050320966","5.5698287183242","528.34872609755","529.64764542391","104.70722553291","16.214595048191","99.68754650756","98.932160762695","21.401202467654","59.994477557051","307.03965588191","blackout"
"2","100.18249890069","324.76834762855","291.26343758735","50044.930571885","49.084205928204","63.439953355664","5.7864614379961","34.283616077716","353.91524622195","98.95994492648","13.733821882007","12.993003826859","11.140458094949","30.932738723845","54.878668288325","302.81164984991","blackout"
"3","92.98225396817","323.39181393906","292.30787799783","49535.105933415","45.876259533922","59.142714115839","8.6979523618376","31.703771966188","152.62444336732","94.156779197458","14.821079353654","10.107295585474","11.232006889666","36.789041513728","49.686241832755","297.98338502485","blackout"
"4","87.480077755083","321.28125702635","292.44882447167","49044.329189523","39.606119875422","60.535904582882","7.5630523927811","34.776895583713","208.41773883199","86.342572154397","14.503980771922","9.3898199605154","9.2535389110644","42.13298845881","47.310582505812","297.10618968969","blackout"
"5","82.123168462014","316.74332963703","291.18450694607","48593.74710923","35.954075259322","60.935127100027","7.3566016339267","33.062996192941","119.77995827853","82.670498547541","14.604874341284","8.6082116289907","9.5904662862773","42.103240127395","41.630862638828","294.23153353975","blackout"
"6","78.102196582005","310.01092161279","292.46304082269","48192.211106302","29.201596927875","61.101878772611","7.7604822032754","34.220889819605","98.84599739592","76.86183178925","13.866917725105","6.4996649299781","8.3483637150656","43.66203097435","42.75983498817","293.82607493466","blackout"
"7","73.700698430901","308.07485837434","293.50413451905","47844.221918256","22.849470419015","59.912097198543","9.2169842858897","33.383934894357","53.661811358363","72.426713750887","15.343517879126","6.9545023554768","6.8812124265743","44.859536078389","42.521610853379","293.34985108926","blackout"
"8","69.159697418649","304.80699489822","292.51580341482","47552.042915069","17.956321680229","58.1226091132","7.7877106241144","30.092672637332","27.838995567566","68.661499461866","13.221948885582","5.0613504819571","6.1936527380168","44.140253615609","42.643589488213","295.10522782323","blackout"
"9","65.707533935452","304.16222337205","292.58588418613","47311.110642849","14.490504088897","58.647565765664","7.7605729846191","32.27812691259","69.00280573877","67.139166549216","14.332412717857","4.7379349326071","6.5787159340688","43.967910515388","43.413171543451","293.93694585977","blackout"
"10","63.028044034967","301.41015759411","292.82019743226","47188.776601129","10.61291450713","59.47226843012","7.0363558228462","32.607956391161","15.447814858556","61.983696689454","14.393143561281","5.7436225733345","6.0304963819456","44.226355400852","41.316454025649","293.62916486845","blackout"
"11","60.485087136295","301.01361270833","293.24000951842","47157.252287307","3.5487119221915","59.429325719481","7.2324004712497","32.415207347512","-10.246359111376","60.951103504998","15.242027834323","4.5991648170712","6.0930723064246","43.554489784663","41.300086198703","295.42508532486","blackout"
"12","58.448063968892","297.66444523322","292.67250331964","47125.709110197","1.6583016341784","56.926544566456","8.252648885163","32.929587682239","25.484444318652","58.932789724066","13.999415392165","4.036086366311","6.3405357131165","46.101105298739","42.346886057891","293.81737721441","blackout"
"13","54.53329675724","297.07544029308","293.3525239409","47094.724508947","1.0554607934786","56.529830662652","8.0225661794637","33.386292134736","0.28860901564337","55.899888228872","15.118072941494","4.8372862467487","4.9944666309953","43.706860570682","39.903721191596","294.06065820368","blackout"
"14","53.34926032402","298.50035015817","294.66032682283","47065.264434679","0.67958646222913","53.138362465102","7.4768977046239","32.361160389408","1.0184373307227","53.951517900695","13.348007514236","4.0244946086592","5.607394593765","44.518384985891","42.433159973224","293.02136701534","blackout"
"15","48.12755256601","298.15185452987","295.94633432775","47034.939246897","2.4355853201863","46.851001670095","7.3787433088079","32.847802255066","9.7263654514767","51.061999555997","14.318509639504","4.497183878239","5.645977281695","42.456363266408","40.140841377727","294.62484849058","blackout"
"16","48.618633783771","296.24148020017","295.61955818493","47006.255291304","1.7355322255503","47.293428499345","8.2292613279183","33.452874141309","-5.8510400462318","49.902486506935","14.35868123674","6.0214778764144","5.9468428154997","43.302098770841","42.283171458768","294.37847101824","blackout"
"17","50.145914536974","297.0628540532","295.75134079943","46979.685505864","1.9889549245325","48.270034163838","8.6975237183325","30.289589856512","8.5513489130411","47.049814402113","15.426680741086","5.5998445731897","4.9146511351589","44.072957275311","42.777406952702","294.24367842856","blackout"
"18","45.205586856117","295.09274924377","293.48339801294","46949.520381666","2.268226039614","46.917194222021","8.8966514100231","31.746017449875","4.6597834306443","44.879481651026","14.919838677095","2.9889191777622","4.9617982820125","42.68495844115","43.627231557432","297.87490387302","blackout"
"19","43.136490149275","297.31260125685","294.21132779916","46926.53786654","1.2346230575224","49.222980585575","8.2913599929772","31.3258849464","-9.2799317803919","45.449471192768","15.681447309045","4.4269510507947","4.5583003763483","41.826693735339","42.441615063974","297.35943676004","blackout"
"20","44.831329866367","297.34717847205","296.18741928897","46901.773560477","-1.3632735201881","47.403640378853","7.8828443613997","33.102611937222","13.537531578542","43.224768089104","15.919240215061","4.0047440500037","2.6170224750072","44.073354694919","42.392547784371","293.88812380348","blackout"
"21","39.000977570246","296.91370709717","294.10454752144","46878.292890857","0.19055114616663","48.699686208734","5.6552905234811","31.166575767848","-0.84942249992693","43.547383903828","14.209985803737","2.4825513181712","3.8734282916897","44.355561682002","40.758304344374","294.95043742332","blackout"
"22","40.540606242878","296.80217037895","293.30204661922","46856.612348988","1.2247177422336","50.628455828093","7.2356387824355","30.627837539779","-10.390027396459","39.469859117636","14.909353846318","3.7664312344145","3.3821023043595","44.860103426895","42.485825729448","295.97584653479","blackout"
"23","38.799253987053","297.38458843739","294.8495812673","46835.150978027","2.3983108356731","49.962605685297","7.4146107776408","31.89888341261","14.182720226827","39.616430086396","14.737642996703","3.9803587482413","2.7958853030878","42.475021951612","41.457797715103","296.1675617854","blackout"
"24","37.594750238917","295.28413786422","294.47132886132","46814.581965767","0.2323511405532","48.485896639777","9.1697792365608","30.576898686785","-2.012263957223","38.04893258557","14.236305548724","3.8281312865258","5.4576098684767","43.282193876435","40.489453806436","296.23239888875","blackout"
"25","35.14090268654","297.38186461788","294.8677871212","46796.561947308","1.187684247217","51.295845771383","8.0054012808061","32.00404819629","-7.072908779544","38.06325048255","15.553731346729","3.2306295595313","2.4033314566977","42.986038972885","42.01163498116","294.54769535762","blackout"
"26","36.536954051264","298.9337189936","294.81754214544","46782.690196663","-0.51552687377565","50.768243355019","7.8232149430887","32.415630012273","13.778798581762","35.811194090295","14.142686221578","3.5404862145999","3.2305401172608","41.985427695351","42.088792796495","295.84488427432","blackout"
"27","36.89063158648","297.06169115212","295.32837864444","46767.058246895","1.1067792357343","50.654371955094","8.179598514337","31.446518259362","-2.2375473091959","34.913146917342","14.756833794877","3.1121228961076","3.1941747454882","42.434952281181","41.556986850277","297.65438478266","blackout"
"28","34.235894892781","296.59985315256","293.36261001371","46754.063297836","0.59891927686475","52.600123827357","8.23514176798","32.510418235184","-5.307343308388","35.132711962965","16.698804323863","5.3627605949815","5.1885778263302","42.428772440732","40.43789774122","296.25663303621","blackout"
"29","35.036906955572","296.82600776123","293.5705477431","46744.034601402","1.1188300674715","52.462473670841","6.607755089176","32.896761151536","14.636799366682","33.073623035311","14.667398909961","4.9272924886956","5.627298200527","41.675141243186","43.583043504423","296.06706332502","blackout"
