"Tempo (s)","Vazao no nucleo (%)","Temperatura na perna quente (C)","Temperatura na perna fria (C)","Vazao no nucleo (kg/s)","Nivel no gerador de vapor - Faixa larga (%)","Nivel no gerador de vapor - Faixa estreita (%)","Pressao no gerador de vapor (Mpa)","Vazao de agua de alimentacao (kg/s)","Vazao de vapor (kg/s)","Vazao no circuito primario (kg/s)","Pressao no sistema primario (Mpa)","Potencia Termica (%)","Potencia Nuclear (%)","Margem de sub-resfriamento (C)","Nivel do pressurizador (%)","Temperatura media no primario (C)","acidente"
"0","104.93965821468","323.52441096221","292.62072613093","50418.749479045","49.23381912073","64.511351722067","7.0751254435214","529.01685134267","527.60500319773","104.74569427328","15.711277660246","99.049419261986","100.86772044767","21.84642071545","60.609114891422","306.38466109723","blackout"
"1","105.67033600008","324.14689582391","290.49439402657","50419.063167897","49.778171608254","63.319682040751","6.8679312741784","528.68740688862","528.80490787395","106.44225980915","15.301440489858","96.890469525839","99.697500500575","21.101135469812","59.236470808282","309.215407803","blackout"
"2","97.880887768688","324.61030616222","294.82121093793","50044.700027402","49.5835890212","61.813460110189","6.7957859149803","35.346246691838","353.252308801","100.70265847227","16.03400895462","11.92694858808","12.984007189653","29.895677809301","55.45128552338","303.59608903985","blackout"
"3","93.406727982164","324.03922395681","291.95298940097","49535.395010333","46.116497059887","61.829633989204","6.7750507460282","32.871953081931","153.04242609327","92.498918453283","15.279536414978","11.338520198537","10.344260373867","38.920851968411","50.80528269879","297.39504015205","blackout"
"4","88.852549209626","321.52211992439","293.83872323411","49043.419495588","40.807037719678","60.652202024676","8.4587146380093","34.721848198564","209.35731282225","86.577287801439","13.479805885336","9.3009970038949","8.7171091540423","41.038195297213","47.727691741211","297.18930081196","blackout"
"5","82.009680064291","316.80948169902","290.75003165235","48592.893857878","37.102577616952","60.229304610162","8.1017235030255","33.455688610053","120.69799176486","82.334501171071","13.576354475922","5.3977754203959","8.7225455107829","40.679152371091","44.615804479538","295.16592239211","blackout"
"6","77.306381172916","311.84118303743","293.40698101184","48191.322083126","27.774514762398","60.069018345485","7.1913871065027","32.178128883089","97.003205504519","77.663494763777","13.969022664007","6.9499382740538","8.0146640978174","43.769937846599","44.086683969551","294.79472210576","blackout"
"7","71.748293527069","308.52365937041","293.70697970833","47844.754179442","25.438297264235","59.301616584176","7.2728049898407","31.182685576673","51.822298902611","73.443228437183","14.774169839375","7.3134468020911","7.7211475033769","44.647784236338","41.7460200449","293.80307317359","blackout"
"8","69.947320302231","303.98767512161","294.05986703364","47553.116019139","16.392355033632","58.930701019711","8.8665792387767","32.427785981876","26.943314677381","70.0632408556","15.430994012786","6.4852021545618","5.7552366071363","43.947900293245","41.052359164141","293.19507059097","blackout"
"9","66.124970334588","300.688622719","293.53632810037","47309.046923313","14.608087269553","58.801121897347","9.5529846703944","33.155061761401","68.0986247649","67.448292503206","14.433530152344","5.7624748594978","5.7497154182062","45.262123085616","40.961052408671","293.46248106899","blackout"
